frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula,tiempo_yolo_s,tiempo_ocr_s
70,car,0.51,1,1286,320,1326,360,,,,,,,0.0592,0
71,car,0.44,1,1286,319,1326,358,,,,,,,0.045,0
72,car,0.52,1,1286,319,1324,358,,,,,,,0.0694,0
73,car,0.6,1,1286,319,1323,358,,,,,,,0.0519,0
74,car,0.59,1,1286,320,1323,357,,,,,,,0.0505,0
75,car,0.59,1,1285,321,1322,356,,,,,,,0.0673,0
76,car,0.53,1,1285,321,1321,355,,,,,,,0.0533,0
77,car,0.51,1,1285,317,1320,356,,,,,,,0.0625,0
78,car,0.55,1,1285,316,1318,356,,,,,,,0.0617,0
79,car,0.51,1,1285,313,1318,356,,,,,,,0.0534,0
80,car,0.43,1,1284,311,1318,355,,,,,,,0.0557,0
81,car,0.4,1,1284,311,1318,356,,,,,,,0.0446,0
82,car,0.37,1,1284,312,1317,356,,,,,,,0.0669,0
83,car,0.36,1,1284,313,1316,356,,,,,,,0.062,0
84,car,0.38,1,1283,313,1315,355,,,,,,,0.047,0
85,car,0.31,1,1284,310,1315,354,,,,,,,0.0566,0
86,car,0.34,1,1284,308,1315,354,,,,,,,0.0621,0
87,car,0.25,1,1284,308,1314,354,,,,,,,0.0494,0
88,car,0.23,1,1283,308,1314,353,,,,,,,0.0456,0
89,car,0.31,1,1284,308,1314,352,,,,,,,0.0497,0
89,car,0.37,40,1463,318,1515,379,,,,,,,0.0497,0
90,car,0.34,1,1283,306,1314,351,,,,,,,0.0456,0
90,car,0.3,40,1463,319,1516,380,,,,,,,0.0456,0
91,car,0.3,1,1282,307,1313,352,,,,,,,0.0454,0
91,car,0.45,40,1458,318,1516,381,,,,,,,0.0454,0
92,car,0.29,1,1280,310,1313,354,,,,,,,0.055,0
92,car,0.45,40,1459,317,1515,379,,,,,,,0.055,0
93,car,0.28,1,1280,311,1312,354,,,,,,,0.0629,0
93,car,0.56,40,1456,319,1515,379,,,,,,,0.0629,0
94,car,0.24,1,1280,311,1312,353,,,,,,,0.0635,0
94,car,0.52,40,1454,319,1514,379,,,,,,,0.0635,0
95,car,0.29,1,1278,308,1312,352,,,,,,,0.0636,0
95,car,0.59,40,1453,319,1514,379,,,,,,,0.0636,0
95,person,0.61,41,0,249,41,478,,,,,,,0.0636,0
95,person,0.47,43,0,248,27,482,,,,,,,0.0636,0
96,car,0.26,1,1277,306,1312,352,,,,,,,0.0582,0
96,car,0.61,40,1451,319,1513,379,,,,,,,0.0582,0
96,person,0.76,41,0,237,53,486,,,,,,,0.0582,0
96,person,0.2,43,0,239,35,494,,,,,,,0.0582,0
97,car,0.1,1,1277,302,1311,351,,,,,,,0.0559,0
97,car,0.73,40,1449,319,1513,381,,,,,,,0.0559,0
97,person,0.79,41,0,234,60,488,,,,,,,0.0559,0
98,car,0.12,1,1276,300,1311,350,,,,,,,0.0561,0
98,car,0.71,40,1449,320,1514,381,,,,,,,0.0561,0
98,person,0.83,41,0,231,68,490,,,,,,,0.0561,0
99,car,0.12,1,1276,300,1311,348,,,,,,,0.043,0
99,car,0.72,40,1446,320,1514,381,,,,,,,0.043,0
99,person,0.82,41,0,232,73,491,,,,,,,0.043,0
100,car,0.13,1,1277,299,1311,347,,,,,,,0.0613,0
100,car,0.71,40,1443,320,1514,381,,,,,,,0.0613,0
100,person,0.82,41,0,235,77,492,,,,,,,0.0613,0
101,car,0.67,40,1438,320,1515,381,,,,,,,0.0543,0
101,person,0.83,41,0,234,78,494,,,,,,,0.0543,0
102,car,0.7,40,1436,320,1516,381,,,,,,,0.0661,0
102,person,0.86,41,0,233,79,497,,,,,,,0.0661,0
103,car,0.7,40,1435,320,1517,382,,,,,,,0.0593,0
103,person,0.85,41,0,231,83,495,,,,,,,0.0593,0
104,car,0.72,40,1435,320,1518,382,,,,,,,0.0538,0
104,person,0.88,41,0,230,89,495,,,,,,,0.0538,0
105,car,0.73,40,1435,320,1518,382,,,,,,,0.0466,0
105,person,0.83,41,2,232,96,492,,,,,,,0.0466,0
106,car,0.73,40,1435,320,1519,382,,,,,,,0.0455,0
106,person,0.86,41,9,230,105,492,,,,,,,0.0455,0
107,car,0.74,40,1434,320,1519,382,,,,,,,0.0614,0
107,person,0.88,41,19,228,114,492,,,,,,,0.0614,0
108,car,0.73,40,1433,320,1519,382,,,,,,,0.0562,0
108,person,0.88,41,26,228,131,492,,,,,,,0.0562,0
108,car,0.41,47,1263,312,1298,347,,,,,,,0.0562,0
109,car,0.73,40,1433,320,1519,381,,,,,,,0.0733,0
109,person,0.85,41,30,229,147,491,,,,,,,0.0733,0
109,car,0.43,47,1262,313,1299,348,,,,,,,0.0733,0
110,car,0.74,40,1431,320,1518,381,,,,,,,0.0635,0
110,person,0.86,41,34,230,157,490,,,,,,,0.0635,0
110,car,0.46,47,1262,312,1298,348,,,,,,,0.0635,0
111,car,0.76,40,1431,321,1518,381,,,,,,,0.0525,0
111,person,0.87,41,38,232,164,488,,,,,,,0.0525,0
111,car,0.53,47,1263,312,1298,347,,,,,,,0.0525,0
112,car,0.76,40,1430,321,1518,381,,,,,,,0.0653,0
112,person,0.86,41,40,234,165,487,,,,,,,0.0653,0
112,car,0.51,47,1263,312,1298,348,,,,,,,0.0653,0
113,car,0.77,40,1428,321,1517,381,,,,,,,0.0451,0
113,person,0.85,41,40,239,169,487,,,,,,,0.0451,0
113,car,0.51,47,1263,312,1297,348,,,,,,,0.0451,0
114,car,0.78,40,1428,321,1517,382,,,,,,,0.0561,0
114,person,0.85,41,45,241,170,488,,,,,,,0.0561,0
114,car,0.51,47,1262,312,1296,348,,,,,,,0.0561,0
115,car,0.8,40,1425,320,1517,382,,,,,,,0.0562,0
115,person,0.83,41,51,240,170,490,,,,,,,0.0562,0
